word,machine,human,label,emotion_intensity_score
machine,ẹrọ,ẹ̀rọ,trust,0.289
eviction,yiyọ kuro,yíyọ kúrò,sadness,0.594
thug,onijagidijagan,oníjàgídíjàgan,anger,0.606
pitter,idọti,ìdọ̀tí,joy,0.134
policeman,ọlọpa,ọlọ́pàá,fear,0.121
rave,rave,àgbéyè wò dáradára,joy,0.706
grouchy,alaigbọran,aláìgbọràn,anger,0.562
remedy,atunse,àtúnṣe,joy,0.227
incendiary,arannilọwọ,àrankàn,fear,0.625
dubious,alaigbagbọ,alárékérekè,fear,0.391
omen,asami,aṣàmì,fear,0.594
jealousy,owú,owú jíjẹ,trust,0.188
anguish,ibanujẹ,ìbànújẹ́,sadness,0.902
bonanza,bonanza,ọrọ̀ góólù,joy,0.812
auspices,auspices,ẹ̀ká,anticipation,0.586
chocolate,chocolate,ṣokoléètì,anticipation,0.516
restriction,ihamọ,ìhámọ́,fear,0.484
lesbians,Ọkọnrin,ìbálópọ̀ aba-sí-abo,trust,0.43
account,iroyin,ìròyìn,trust,0.523
dire,dire,dire,sadness,0.609
villain,oniwa buburu,oníwà búburú,fear,0.595
wrongful,ti ko tọ,ti kò tọ́,sadness,0.484
goblin,goblin,ẹ̀dá búburú,disgust,0.5
miscarriage,oyun inu,oyún inú,sadness,0.824
overplayed,overplayed,àṣejù,anger,0.206
abhorrent,irira,ìríra,disgust,0.68
grievous,ibanuje,ìbànújẹ́,sadness,0.704
somad,somad,bínú gan-an,anger,0.637
suspense,ifura,ìfura,surprise,0.703
weightloss,ipadanu iwuwo,ìpàdánù ìwúwo,joy,0.362
buss,awọn ọkọ akero,àwọn ọkọ̀ akérò,joy,0.136
competition,idije,ìdíje,anticipation,0.523
nightmare,alaburuku,àlá burúkú,fear,0.828
fade,ipare,parẹ́,trust,0.359
tornado,efufu nla,ẹ̀fúùù ńlá,fear,0.734
raging,ibinu,bíbínú,anger,0.896
wasted,wasted,ti sòfò,anger,0.441
insolvent,alailera,aláìlera,sadness,0.422
scare,idẹruba,dẹ́rùbà,anger,0.588
birth,ibimọ,ìbímọ,fear,0.203
creeping,ti nrakò,tí à ń rákò,anticipation,0.469
burnt,sun,sun,disgust,0.531
accusation,ẹsùn,ẹ̀sùn,anger,0.51
routine,baraku,bárakú,trust,0.414
successful,aseyori,ṣàṣeyọrí,trust,0.648
adore,fẹran,fẹ́ràn,joy,0.667
lounging,lounging,ìrọ̀gbọ̀kú,joy,0.297
poison,majele,májèlé,disgust,0.656
competence,ijafafa,kájú òṣùwọ̀n,trust,0.75
domination,akoso,àkóso,sadness,0.469
magical,idan,idán,joy,0.742
crunch,crunch,rún,anger,0.318
uncaring,aibikita,àìbìkítà,anger,0.273
terrorism,ipanilaya,ìpaniláyà,sadness,0.812
cruising,wiwakọ,wíwakọ̀,joy,0.556
undying,tí kò kú,kìí kú,trust,0.5
coldness,otutu,òtútù,sadness,0.391
paralysis,paralysis,àrùn ẹ̀gbà,sadness,0.719
incongruous,aiṣedeede,Àìṣedéédé,anger,0.435
unsettled,aifọkanbalẹ,àìfọkànbalẹ̀,disgust,0.336
datenight,datenight,àsálẹ́ olólùfẹ́,joy,0.484
cur,cur,ẹni ìkórìíra,disgust,0.453
accomplish,ṣaṣepari,ṣàṣeparí,joy,0.5
bear,agbateru,àgbátẹrù,anger,0.266
disagreement,aiyede,àìyedè,anger,0.348
witch,ajẹ,àjẹ́,anger,0.242
wench,wench,aṣéwó,anger,0.353
exalt,gbega,gbéga,joy,0.636
intrigue,intrigue,panságà,fear,0.188
onelove,ifẹ kan,ìfẹ́ kan,joy,0.606
disheartening,aibanujẹ,àìbanújẹ́,sadness,0.719
thaumaturgy,thaumaturgy,ìṣe isẹ́ ìyanu,surprise,0.555
lonely,ìdánìkanwà,ìdánìkanwà,fear,0.183
lust,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.625
shiver,gbigbọn,gbígbọ̀n,anticipation,0.367
leaning,gbigbe ara,ìfẹ́kúfẹ̀,trust,0.383
defy,ẹgan,ẹ̀gàn,anger,0.5
quiver,apó,apó,fear,0.469
romantic,ifẹ,ìfẹ́,joy,0.75
opposed,atako,àtakò,anger,0.484
crowning,ade,adé,anticipation,0.648
shooting,iyaworan,ìyàwòrán,fear,0.812
influential,gbajugbaja,gbajúgbajà,trust,0.555
illicit,arufin,arúfin,fear,0.453
trepidation,iberu,ìbẹ̀rù,fear,0.688
management,isakoso,ìṣàkóso,trust,0.516
punt,punt,Àfojúsùn,anticipation,0.461
merry,ariya,àríyá,joy,0.727
rational,onipin,ìròrí,trust,0.617
shot,ìbọn,ìbọn,surprise,0.711
parade,Itolẹsẹ,Ìtòlẹ́sẹ̀,anticipation,0.562
backoff,ifẹhinti lẹnu iṣẹ,padà,anger,0.469
exaltation,igbega,ìgbéga,joy,0.682
cramp,inira,ìnira,anticipation,0.352
unemployed,alainiṣẹ,aláìníṣẹ́,fear,0.391
coop,coop,asẹ́,disgust,0.304
reminiscing,ìrántí,ìrántí,joy,0.456
fruity,eso,èso,joy,0.268
disrespect,aibọwọ,àìbọwọ,anger,0.394
calf,ọmọ malu,ọmọ màálù,trust,0.289
disembodied,disembodied,tì ṣubú,fear,0.531
indomitable,ailopin,àìlèṣẹ́gun,fear,0.438
mediator,olulaja,olùlàjà,trust,0.609
mortification,imudaniloju,ìmúdánilójú,anticipation,0.398
myopia,myopia,tíntinì,sadness,0.339
stare,tẹjú mọ́,tẹjú mọ́,surprise,0.273
needtoknow,nilo lati mọ,nílò láti mọ̀,fear,0.173
dare,agbodo,àgbọdọ̀,anticipation,0.57
theology,eko nipa esin,ẹ̀kọ́ nípa ẹ̀sìn,anticipation,0.359
paranoia,paranoia,aláìgbanigbọọ́,fear,0.594
misbehavior,iwa aiṣedeede,ìwà àìṣedéédé,surprise,0.5
contagious,tó leè ranni,tó leè ranni,disgust,0.695
cherish,nifẹẹ,fẹ́ràn,trust,0.617
irreparable,irreparable,àìlátúnṣe,fear,0.625
disgust,ìríra,ìríra,fear,0.406
visionary,iranran,ìrànrán,joy,0.5
profanity,aibuku,àìmọ́,anger,0.673
aggravates,aggravates,Sọ di búburú,anger,0.719
revolution,rogbodiyan,rògbòdìyàn,anticipation,0.641
molestation,ipaniyan,ìyọlẹ́nu,fear,0.859
lower,isalẹ,ìsàlẹ̀,sadness,0.203
whimper,ariwo,ariwo,fear,0.406
nervous,aifọkanbalẹ,àìfọkànbalẹ̀,fear,0.469
sarcasm,ẹgàn,ẹ̀gàn,anger,0.422
good,o dara,dára,trust,0.617
coup,ifipapo,Ìfipapọ̀,anger,0.578
testament,majẹmu,Májẹ̀mú,anticipation,0.461
losing,ọdun,ọdún,sadness,0.594
plump,pọn,Pọ́n,anticipation,0.359
thunderstruck,ãra,ara,surprise,0.844
admiration,iwunilori,ìnífẹ̀sí,surprise,0.328
brute,alaigbọran,aláìgbọràn,fear,0.5
breeze,afẹfẹ,afẹ́fẹ́,joy,0.297
legitimacy,ofin,ìbófinmu,trust,0.633
giggles,rẹrin,rẹ́rìn-ín,joy,0.672
presumptuous,ìkùgbù,ìkùgbù,disgust,0.383
abominable,irira,ìríra,disgust,0.664
depreciated,dinku,dínkù,anger,0.297
hurtful,ipalara,ìpalára,fear,0.625
swine,ẹlẹ́dẹ̀,ẹlẹ́dẹ̀,disgust,0.664
sanctify,sọ di mímọ̀,sọ di mímọ́,trust,0.672
firearms,ohun ija,ohun ìjà,fear,0.6
respect,ibowo,ọ̀wọ̀,trust,0.75
ambush,ibùba,ibùba,fear,0.688
gambler,olutayo,Olùtayọ,anticipation,0.57
dismay,aibanujẹ,àìbanújẹ́,surprise,0.57
forewarned,ti kilọ,ti kìlọ̀,anticipation,0.562
fuckoff,fuckoff,Mi fẹ́ rí ẹ/ kúrò níbí,anger,0.912
grope,táràrà,táràrà,disgust,0.703
bankruptcy,gbese,gbèsè,fear,0.359
unsatisfied,ti ko ni itẹlọrun,tí kò ní ìtẹ́lọ́rùn,sadness,0.405
grizzly,grizzly,ewú,fear,0.578
resignation,ifasilẹyin,ìfàsílẹ́yìn,sadness,0.547
unhappy,alainidunnu,aláìnídùnnú,sadness,0.75
bummer,idamu,ìdààmú,sadness,0.439
psalm,Psalm,àwọn orin mímọ́,trust,0.492
brilliant,o wu,peregedé,trust,0.609
discontent,ainitẹlọrun,àìnítẹ̀ẹ́lọ́rún,sadness,0.543
aggressive,ibinu,ìbínú,fear,0.703
movingon,ontesiwaju,onítẹ̀síwájú,joy,0.182
accepts,gba,gbà,trust,0.648
strolling,lilọ kiri,lílọ kiri,joy,0.297
worry,dààmú,dààmú,fear,0.578
harmful,ipalara,ìpalára,anger,0.672
reconstruction,atunkọ,Àtúnkọ́,anticipation,0.438
abyss,ọgbun,ọ̀gbun,sadness,0.594
accolade,iyin,oríyìn,surprise,0.281
orchard,ọgba -ajara,ọgbà-àjàrà,joy,0.221
bugaboo,bugaboo,elèsù,anger,0.273
untoward,lodi si,lòdì sí,anger,0.394
soslow,lọra,lọ́ra,anger,0.398
beware,kiyesara,kíyèsára,anticipation,0.633
glimmer,glimmer,dán gbinrin,anticipation,0.547
wanker,alarinkiri,alárìnkiri,anger,0.545
outrageous,outrageous,àpọ̀jù,surprise,0.75
eager,ni itara,ní ìtara,anticipation,0.742
miracle,iyanu,ìyanu,surprise,0.859
elf,elf,aràrá,disgust,0.141
kindred,ibatan,ìbátan,anticipation,0.352
ruined,ti baje,ti bàjẹ́,fear,0.5
finally,nipari,níparí,disgust,0.125
elevation,igbega,ìgbéga,joy,0.455
scripture,iwe -mimọ,ìwé-mímọ́,trust,0.609
whirlwind,ìjì líle,ìjì líle,fear,0.312
spank,nà,nà,fear,0.587
wrecked,ti bajẹ,ti bàjẹ́,anger,0.633
relationship,ibasepo,ìbáṣẹpọ̀,joy,0.514
revulsion,ifilọlẹ,ìfilọ́lẹ̀,fear,0.516
spa,spa,Ibi ìtora,anticipation,0.43
manslaughter,ipaniyan,ìpànìyàn,fear,0.828
disinformation,ifitonileti,ìfitónilétí,fear,0.286
pillage,ikogun,ìkógun,disgust,0.547
reassure,idaniloju,fi dánilójú,trust,0.617
threatening,idẹruba,ìdẹ́rùbà,anger,0.882
proverbs,owe,òwe,trust,0.492
prize,joju,ẹ̀bùn,trust,0.562
font,font,agbada,trust,0.352
avarice,awari,àwárí,disgust,0.523
vengeance,ẹsan,ẹ̀san,fear,0.844
shrill,gbigbọn,gbígbọ̀n,fear,0.453
blaze,ina,iná,anger,0.578
gory,gory,wẹ̀jẹ̀,sadness,0.672
rejoice,yọ,yọ̀,surprise,0.523
warlike,ogun bi,Bíi ogun,anger,0.728
worthless,lásán,lásán,sadness,0.609
haunted,Ebora,ebora,sadness,0.422
income,owo oya,owo ọ̀yà,sadness,0.1
tease,yọ lẹnu,yọ lẹ́nu,sadness,0.188
aspiration,ifẹkufẹ,ìfẹ́kúfẹ̀,surprise,0.391
unlucky,lailoriire,àìlóríire,disgust,0.234
slavery,ẹrú,ẹrú,sadness,0.828
dutiful,tọkàntọkàn,tọkàntọkàn,trust,0.578
buddy,ore,ọ̀rẹ́,anticipation,0.336
speck,erupẹ,ìdọ̀tí,disgust,0.203
elimination,imukuro,ìmúkúrò,sadness,0.516
hairchalk,irun ori,ẹfun-ìparun,trust,0.336
germ,kokoro,kòkòrò,disgust,0.68
vulgarity,iwa palapala,Ìwà pálapàla,disgust,0.703
uncensured,ti ko ni aabo,àìfòfindè,trust,0.539
tactics,awọn ilana,ìlàna-iṣẹ́,trust,0.352
credibility,igbekele,ìgbáralé,trust,0.805
deranged,ti bajẹ,ti bàjẹ́,disgust,0.742
playground,ibi -iṣere,ibi-ìṣeré,joy,0.391
musical,orin,ajẹmọ́ orin,surprise,0.219
tripping,ikọsẹ,ìkọsẹ̀,sadness,0.429
bonus,ajeseku,àjẹṣẹ́kù,joy,0.547
hateful,korira,kóríra,anger,0.94
money,owo,owó,surprise,0.203
virtue,iwa rere,ìwà rere,trust,0.719
prick,prick,luwò,surprise,0.484
row,kana,kánà,anger,0.337
erase,nu,nu,fear,0.303
surcharge,afikun owo,Àfikún owó,anger,0.136
concordance,concordance,ìṣọ̀kan,trust,0.562
urgency,ijakadi,ìjàkadì,surprise,0.625
moan,kérora,kérora,fear,0.394
retaliatory,igbẹsan,ìgbẹ̀san,anger,0.788
buck,owo,owó,fear,0.234
terminal,ebute,èbúté,fear,0.703
sisterhood,arabinrin,àwọn ọ̀dọ́bìrin,surprise,0.109
pimple,pimple,amúnibínú,disgust,0.641
cocoa,koko,kókó,joy,0.353
holocaust,ipaniyan,ìpànìyàn,disgust,0.852
ugliness,ilosiwaju,òbùrẹwà,disgust,0.602
slayer,apaniyan,apànìyàn,sadness,0.766
wearily,rirẹ,rírẹ̀,sadness,0.281
wounding,ọgbẹ,ọgbẹ́,fear,0.688
adverse,ikolu,ìkọlù,sadness,0.281
psalms,psalmu,orin,joy,0.288
torrent,odò,odò,fear,0.594
aghast,ijaya,Ìjayà,disgust,0.625
regretting,banuje,banújẹ́,sadness,0.688
revolting,sote,ṣe ọ̀tẹ̀,anger,0.75
difficulty,iṣoro,ìṣòro,fear,0.234
integrity,iyege,ìfọkàntán,trust,0.805
succeeding,aṣeyọri,Àṣeyọrí,anticipation,0.609
blame,ibawi,ìbáwí,anger,0.484
recesses,awọn isinmi,àwọn ìsinmi àwọn ìsinmi,fear,0.203
fitting,ibamu,ṣe rẹ́gí,trust,0.406
indictment,ẹsun,ẹ̀sùn,fear,0.484
depreciated,dinku,dínkù,disgust,0.312
parade,Itolẹsẹ,ìtọ̀lẹ́sẹ̀,fear,0.062
artwork,ise ona,iṣẹ́ ọnà,joy,0.265
interrupt,da gbigbi,dà gbìgbì,anger,0.333
discourage,ìrẹwẹsì,ìrẹ̀wẹ̀sì,sadness,0.547
headlight,imole,Ìmọ́lẹ̀,anticipation,0.406
subvert,yiyipada,yíyí padà,sadness,0.384
orc,orc,ẹja,fear,0.388
admonition,ikilọ,ìgbaniníyànjú,fear,0.469
changeable,iyipada,Ìyípadà,anticipation,0.547
pine,igi pine,igi pínì,sadness,0.25
disinformation,ifitonileti,àìfitónilétí,anger,0.152
terrorist,apanilaya,apaniláyà,fear,0.972
robbery,ole jija,olè jíjà,fear,0.8
depressed,ibanujẹ,ìbànújẹ́,sadness,0.859
funeral,isinku,ìsìnkú,sadness,0.844
ravenous,ravenous,ebi,sadness,0.391
devastation,iparun,ìparun,fear,0.906
sympathetic,alaanu,aláàánú,sadness,0.307
tender,tutu,tutù,joy,0.441
haughty,onírera,onírera,anger,0.456
judgment,idajọ,ìdájọ́,trust,0.469
singing,orin,orin,joy,0.591
stain,idoti,ìdọ̀tí,disgust,0.484
sweetheart,ololufe,olólùfẹ́,sadness,0.0
execution,ipaniyan,ìpànìyàn,fear,0.844
spiteful,lilu,lílù,anger,0.719
shit,nik,àsé,anger,0.573
jealous,owú,owú,disgust,0.539
rejects,kọ,kọ̀,fear,0.359
ruinous,iparun,ìparun,disgust,0.578
maintenance,itọju,ìtọ́jú,trust,0.422
monstrosity,monstrosity,àiṣéwò,disgust,0.781
bubble,ti nkuta,ti ń kùtà,joy,0.141
barrier,idankan,ìdákan,anger,0.287
admiration,iwunilori,ìfìfẹ́hàn,trust,0.703
villainous,buburu,búburú,disgust,0.641
thankful,ọpẹ,ọpẹ́,joy,0.727
overpriced,gbowolori,gbówó lórí,sadness,0.141
travel,irin -ajo,ìrìn-àjò,joy,0.409
blessing,ibukun,ìbùkún,joy,0.844
share,pin,pín,trust,0.586
unkind,alaanu,àìláàánú,disgust,0.406
unbridled,unbridled,láìdákẹ́,anticipation,0.5
endeavor,igbiyanju,ìgbìyànjú,anticipation,0.586
delightful,igbadun,ìgbádùn,anticipation,0.586
favorite,ayanfẹ,àyànfẹ́,trust,0.484
grated,grated,rún,anger,0.455
lovethis,ife yii,ìfẹ́ yìí,joy,0.891
palpable,palpable,àrídìmú,surprise,0.297
mausoleum,mausoleum,ìṣà òkú,sadness,0.63
magnetic,oofa,ònfà,trust,0.461
punching,lilu,lílù,anger,0.803
humble,onirẹlẹ,onírẹ̀lẹ̀,disgust,0.047
invocation,epe,èpè,anticipation,0.5
glitter,didan,dídán,joy,0.422
unguarded,alaabo,aláìláábò,surprise,0.477
mirth,ayọ,ayọ̀,joy,0.375
ruthless,aláìláàánú,aláìláàánú,disgust,0.562
embrace,gbá mọ́ra,gbá mọ́ra,anticipation,0.617
shaking,gbigbọn,gbígbọ̀n,fear,0.531
mistress,oluwa,olùwà,anger,0.182
live,gbe,gbé,joy,0.406
lost,sọnu,sọnù,sadness,0.625
grab,gbamu,gbámú,anger,0.557
oneday,lọjọ kan,lọ́jọ́ kan,joy,0.197
inevitable,eyiti ko,àìṣeékọ̀,trust,0.492
ruined,ti baje,ti bàjẹ́,sadness,0.697
repellant,apanirun,apanirun,disgust,0.539
nefarious,nefarious,ẹlẹ́ṣẹ̀,fear,0.656
nose,imu,imú,disgust,0.18
alertness,gbigbọn,ìtakìjí,surprise,0.5
budget,isuna,ìṣúná,trust,0.406
lethal,apaniyan,apànìyàn,sadness,0.797
late,pẹ,pẹ,sadness,0.125
shoot,iyaworan,ìyàwòrán,anger,0.672
freely,larọwọto,tọ̀fẹ́-tọ̀fẹ́,trust,0.516
pain,irora,ìrora,sadness,0.719
startle,ibanuje,ìbànújẹ́,surprise,0.875
anthrax,anthrax,àrùn,disgust,0.766
shortage,aito,àìtó,fear,0.344
loving,ife,ìnífẹ̀,trust,0.641
secretion,yomijade,Yọ omi jáde,disgust,0.703
hostile,alatako,àtakò,disgust,0.609
mercenary,adota,ọmọ ìsọta,fear,0.625
rampage,rampage,Ìjàkadì,fear,0.781
applaud,iyin,pàtẹ́wọ́,trust,0.562
throb,lu,lù,fear,0.388
affliction,ipọnju,ìpọ́njú,joy,0.103
strike,idasesile,lù,anger,0.721
lying,irọ,irọ́,disgust,0.531
aggravating,aggravating,ń le,sadness,0.5
topple,topple,já gbà,surprise,0.664
miscarriage,oyun inu,oyún tó wálẹ̀,fear,0.719
compact,iwapọ,ìwàpọ̀,trust,0.43
custody,ihamọ,ìtìmọ́lé,trust,0.461
bridegroom,oko iyawo,ọkọ ìyàwó,trust,0.445
craziness,aṣiwere,aṣiwèrè,joy,0.188
create,ṣẹda,ṣẹ̀dá,joy,0.288
spinster,alayipo,aláyípo,sadness,0.4
bruh,bruh,Ìyàwo-ọmọ,trust,0.312
infidel,alaigbagbọ,Aláìgbàgbọ́,anger,0.47
phalanx,phalanx,Ọmọ ogun,fear,0.342
betrothed,iyawo,ìyàwó,joy,0.485
dastardly,dastardly,ojo,disgust,0.625
ruinous,iparun,ìparun,sadness,0.698
colonel,Kononeli,kọ́nẹ́lì,trust,0.484
touchy,ifọwọkan,ìfọwọ́kàn,sadness,0.14
competition,idije,ìdíje,fear,0.172
senate,Alagba,ilé-ìgbìmọ aṣòfin,trust,0.367
prosecution,ibanirojọ,ìbánirojọ́,disgust,0.406
apologize,gafara,tọrọ àforíjì,trust,0.477
duress,iponju,ìpọ́njú,fear,0.641
scaffold,atẹlẹsẹ,àtẹlẹsẹ̀,fear,0.234
free,ofe,ọ̀fẹ́,joy,0.544
doubt,iyemeji,iyèméjì,trust,0.203
faith,igbagbọ,Ìgbàgbọ́,anticipation,0.438
warranty,atilẹyin ọja,ìfidánilóju ́ojà,trust,0.656
reputable,olokiki,olókìkí,trust,0.758
scrapie,scrapie,ìríra,anger,0.406
perversion,arekereke,àrékérekè,anger,0.53
reward,ère,èrè,anticipation,0.656
ordinance,ìlana,ifilélẹ̀,trust,0.57
comptroller,olutọju igbimọ,ayẹ̀we-owó-wò,trust,0.438
nurture,tọ́jú,tọ́jú,anger,0.059
depressed,ibanujẹ,ìbànújẹ́,fear,0.469
broke,fọ,fọ́,fear,0.438
intrigue,intrigue,fanimọ́ra,surprise,0.43
hooded,hooded,ìbòrí,fear,0.266
sinister,ẹlẹṣẹ,ibi,fear,0.672
grades,onipò,onípò,fear,0.094
symmetry,isedogba,ìṣedọ́gba,trust,0.602
cleave,faramọ,faramọ́,fear,0.391
slaughterhouse,agbo ẹran,agbo ẹran,sadness,0.703
symptom,aami aisan,àmì àìsàn,fear,0.133
gorge,ọgbun,ọ̀gbun,disgust,0.492
ethereal,ethereal,ẹlẹgẹ́,fear,0.328
unsatisfied,ti ko ni itẹlọrun,àìnítẹ̀ẹ́lọ́rùn,disgust,0.266
confidential,asiri,àṣírí,trust,0.68
fondness,ifẹkufẹ,ìfẹ́kúfẹẹ,joy,0.625
pale,bia,bíà,sadness,0.234
leaf,ewe,ewé,joy,0.065
relight,tan imọlẹ,tan ìmọ́lẹ̀,joy,0.312
honest,ooto,Òótọ́,fear,0.047
humble,onirẹlẹ,onírẹ̀lẹ̀,sadness,0.078
wellness,alafia,àlàáfíà,joy,0.537
eruption,eruption,ìtújáde,anger,0.667
tickle,tickle,pàkínpàkín,anticipation,0.438
quaint,quaint,àkóso,joy,0.297
amuse,iṣere,ìṣeré,joy,0.788
peace,alafia,àlàáfíà,trust,0.602
lawyer,agbẹjọro,agbẹjọ́rò,anger,0.25
silence,ipalọlọ,ìpalọ́lọ́,joy,0.127
storm,iji,ìjì,anger,0.507
dancing,ijó,ijó,joy,0.797
blasphemous,ọrọ odi,ọ̀rọ̀ òdì,disgust,0.531
pointless,asan,asán,sadness,0.394
uplift,gbe soke,gbé sókè,anticipation,0.586
dissolution,itu,itú,fear,0.375
displeased,binu,bínú,fear,0.273
instinctive,imotuntun,Ìmọ̀tuntun,anger,0.112
fate,ayanmọ,àyànmọ́,trust,0.438
peepul,peepul,igi baobáó,trust,0.219
lover,ololufe,olólùfẹ́,trust,0.477
reunion,itungbepapo,ìtúngbépapọ̀,trust,0.555
demolished,wó lulẹ̀,wó lulẹ̀,sadness,0.625
compensate,isanpada,ìṣàtúnṣe,trust,0.562
liberate,igbala,Sọ dòmìnira,trust,0.523
volunteer,oluyọọda,iṣẹ́ àtinúwá,trust,0.509
uncontrollable,ti ko ni idari,Tí kò ní ìdarí,anticipation,0.516
blues,blues,àwọn búlúù,sadness,0.438
erotic,itagiri,ìgbéfúkẹ́ ara,surprise,0.5
astray,ṣina,ṣìnà,fear,0.32
wonderstruck,wonderstruck,ìyanu,trust,0.422
miracle,iyanu,ìyanu,joy,0.742
degrading,abuku,àbùkù,fear,0.562
veto,veto,bínú sí,anger,0.455
defendant,olujejo,olùlẹjọ́,anger,0.266
avalanche,owusuwusu,òwúṣúwuṣù,fear,0.703
salvation,igbala,ìgbàlà,joy,0.412
fits,ibaamu,ìbámu,anger,0.561
abduction,ifasita,ìjínigbé,fear,0.7
injection,abẹrẹ,abẹ́rẹ́,fear,0.609
conspirator,apanirun,apanirun,anticipation,0.422
sinful,elese,ẹlẹ́ṣẹ̀,disgust,0.633
trashy,idoti,ìdọ̀tí,disgust,0.648
yesss,yesss,bẹ́ẹ̀ni,joy,0.797
hardened,àiya,àìbìkítà,disgust,0.391
guarded,ṣọ,ṣísọ́,trust,0.602
vomit,eebi,èébì,disgust,0.812
misfortune,ibi,ibi,fear,0.562
circumstances,ayidayida,àyídáyidà,joy,0.125
bloodshed,itajesile,Ìtàjẹ̀sílẹ̀,disgust,0.714
plaintive,alaroye,aláròyé,sadness,0.359
queasiness,irẹwẹsi,ìrẹ̀wẹ̀sì,disgust,0.594
stranger,alejò,àlejò,fear,0.453
coup,ifipapo,ìfipapọ̀,surprise,0.609
journey,irin -ajo,ìrìn-àjò,fear,0.062
spouse,oko tabi aya,olólùfẹ́,trust,0.594
newjob,iṣẹ tuntun,iṣẹ́ tuntun,fear,0.266
hail,yinyin,yìn,trust,0.43
atrocity,iwa ika,Ìwà ìkà,disgust,0.734
anxiety,aibalẹ,Aìbalẹ̀,anticipation,0.609
substantiate,ẹri,ẹ̀rí,trust,0.594
losing,ọdun,ọdún,anger,0.349
choices,awọn aṣayan,àwọn àṣàyàn,trust,0.539
mastery,oga,ìkọ́ṣẹ́-mọṣẹ́,trust,0.672
abandoned,ti kọ silẹ,ti kọ̀ sílẹ̀,fear,0.534
memorials,awọn iranti,àwọn ìrántí,sadness,0.453
willful,imomose,Ìmọ̀ọ́mọ̀ṣe,anger,0.176
frankness,ododo,ìṣòdodo,trust,0.562
knickers,knickers,ṣòkòtò pénpé,trust,0.367
massacre,ipakupa,ìpakúpa,sadness,0.931
tirade,tirade,ọ̀rọ̀ ìjà,anger,0.859
graduation,ipari ẹkọ,ìparí ẹ̀kọ́,joy,0.422
dictionary,iwe -itumọ,ìwe-atúmọ̀,trust,0.523
bargain,idunadura,ìdúnàdúrà,trust,0.367
affront,ẹgan,ẹ̀gàn,sadness,0.359
cracked,sisan,sísán,fear,0.484
blob,blob,búlọ́ọ̀bù,fear,0.5
hood,ibori,ìbòrí,fear,0.266
addict,okudun,òkúdùn,trust,0.172
incite,ru,rósí,anger,0.469
gambling,ayo,tẹ́tẹ́,surprise,0.445
mother,iya,ìyá,anticipation,0.406
geriatric,geriatric,Ohun tó jẹ́ mọ ogbó,sadness,0.379
piles,piles,jẹ̀díjẹ̀dí,disgust,0.445
heavenly,ọrun,ajẹmọ́ ọ̀run,trust,0.57
holocaust,ipaniyan,ìpànìyàn,fear,0.906
hohoho,hohoho,hòhò,joy,0.845
shock,mọnamọna,jìnìjìnì,anger,0.269
smash,fọ,fọ́,fear,0.656
aga,aga,oyè,trust,0.359
demented,irẹwẹsi,ìrẹ̀wẹ̀sì,fear,0.641
malicious,irira,ìríra,fear,0.656
insurrection,iṣọtẹ,Ìṣọ̀tẹ̀,anger,0.652
thankyoulord,thankyoulord,o ṣé Olúwa,joy,0.803
stealthy,olè jíjà,yíyọ́ kẹ́lẹ́,surprise,0.43
excite,ṣojulọyin,múnúdùn,anger,0.191
hearing,gbigbọ,gbígbọ́,fear,0.156
bogus,iro,ayédèrú,disgust,0.406
overdue,tipẹ,tí pẹ́,sadness,0.281
fire,ina,iná,fear,0.636
homeless,aini ile,àìní ilé,disgust,0.438
lose,padanu,pàdánù,sadness,0.509
mournful,ṣọfọ,ṣọ̀fọ̀,sadness,0.812
disastrous,ajalu,ajalu,fear,0.875
incite,ru,ru,fear,0.516
obscene,ohun aibikita,ohun àìbìkítà,disgust,0.672
destiny,ayanmọ,Àyànmọ́,anticipation,0.633
winning,gba,gba,joy,0.703
cuddle,cuddle,dì mọ́,joy,0.636
grieve,banuje,banújẹ́,sadness,0.844
dwarfed,arara,aràrá,fear,0.281
excitement,simi,sinmi,surprise,0.734
delightful,igbadun,ìgbádùn,trust,0.539
limited,lopin,lópin,sadness,0.167
authority,aṣẹ,aláṣẹ,trust,0.664
sacrifices,ẹbọ,ẹbọ,disgust,0.383
dabbling,dabbling,sọ di tútù,disgust,0.195
radar,Reda,ẹ̀rọ aṣàwárí ǹkan,trust,0.406
flabby,flabby,fì,disgust,0.555
incompatible,ni ibamu,àìníbámu,disgust,0.359
unresolved,ti ko yanju,tí kò yanjú,anticipation,0.422
worstfeeling,ikunsinu ti o buru julọ,ìkùnsínú tí ó burú jùlọ,fear,0.56
loving,ife,ife,joy,0.879
wannasleep,wannasleep,fẹ́ sùn,anger,0.031
visor,visor,ìbòjú,surprise,0.156
frenzied,frenzied,rorò,anger,0.5
bereaved,ologbe,olóògbé,sadness,0.92
darkness,okunkun,òkùnkùn,fear,0.516
neutral,didoju,Wà láàrín,anticipation,0.148
cannibalism,ipaniyan,ìpànìyàn,disgust,0.953
convent,convent,ibùgbé olùjọ́sìn,trust,0.547
khan,khan,adarí,trust,0.266
pessimism,aibikita,àìbìkítà,anger,0.375
perfect,pipe,pétán,trust,0.539
happynewyear,"e ku odun, eku iyedun","etkú ọdún, ẹ kú ìyèdún",joy,0.656
