word,label
karaka,positive
na agwụ kwa unu ike,negative
goziri,positive
huru m gi nanya,positive
afo ona asa,negative
jisike,positive
ibughi mmadu,negative
ikariri,positive
di mma‍️‍️‍️,positive
alili,negative
nkwo agu,negative
o dí egwu,negative
obi‍️,positive
itiboribo,negative
egbum mgbu,negative
korapu,negative
imamma,positive
onye asị,negative
mmiri ndu,positive
gbu e mmadu,negative
ị bụghị mmadụ,negative
pịa,negative
ike agwu,negative
anwuola,negative
hụrụ onwe ya nanya,positive
edozie,positive
gbarie,negative
ma ra nma,positive
gbu gi,negative
emebiwo,negative
iheoma,positive
isi mebiri,negative
i maka,positive
ogbu madu,negative
eziahuike,positive
akwamiiko,negative
ara gba gi,negative
dikwalu gi mma,positive
eze ndị eze,positive
ndu,positive
obi ojoo,negative
emeela,positive
mmakpo mmadu anya,negative
oké nkume,positive
rie nsi ️️️️️️️,negative
ifere,negative
mara anyị nma,positive
ji si ike,positive
nshi,negative
amuosu ‍️,negative
akogheri,negative
obansi,negative
di mma ️,positive
kelere,positive
agbara,positive
ndụ,positive
piawa,negative
isi adiro gi mma,negative
ga egbu,negative
onye ala‍️,negative
obi anuli,positive
nnwute,negative
iwe oku‍️,negative
dịkwa egwu,negative
ja gi mma,positive
igburu madu,negative
agoziwo,positive
amaka ️️,positive
ara ogbugba,negative
uto uwa,positive
aburo,negative
onye ndu,positive
anumpama,negative
obi mma,positive
igaghi,negative
ato m,positive
apkari,negative
egwu aha atụ,negative
kitipa,negative
onyedike,positive
ji sie ike,positive
na nma,positive
ahu adirokwa,negative
gọzikwa gị,positive
na ekwugheri,negative
eche kwa ba,positive
ujo,negative
isi ọma,positive
biri kwa,positive
atagbuola,negative
rakwa,negative
ekwekana,negative
ndiiro,negative
osukosu,negative
odimma,positive
gaegbukwa,negative
tabie onu,negative
egbula anyi,negative
onye di ka gi,positive
usu mia gi onu,negative
achọ kwanu okwu,negative
dị mma,positive
ogbugbu,negative
naakpagbu,negative
ajoo,negative
chioma,positive
piachie gị ntị,negative
bikonu‍️,positive
ga esu fa oku,negative
ekenee,positive
olu oma,positive
ahiize gị,positive
kparị,negative
obi m,positive
ọ chọ okwu,negative
ekenekwe,positive
umuogbenye,negative
enenebe eje olu,positive
onye oru,positive
nwanyioma,positive
ara naagba,negative
ahu isi ike,positive
gbaaa gi ume,positive
onu ujo,negative
eligwe,positive
e kwụsịkwala ịhea,negative
nke ojo,negative
zukwanike,positive
ariro,positive
gbagbuo gi,negative
dị nma,positive
isi mgbaka,negative
onu ojoo,negative
ogu,negative
mme mme,positive
awugo,negative
aparị,negative
chekwaba,positive
nwelu,positive
kparị mmadụ,negative
gwuru mmadu ike,negative
nsewa,negative
afugbuola,negative
isi akukago,negative
ga achụ gị ọsọ,negative
iwe gi,negative
nwanne m ️,positive
akụ,positive
obieze,positive
nnukwu nmawu,positive
zukwanu ike,positive
ajo onu,negative
pia oku,negative
mmekwata,positive
onweberọ,negative
mmanya naegbu,negative
diro gi egwu,negative
gaakwalite,negative
gbawapu gi onu,negative
gugbuo,negative
ekpere m,positive
ejighị,negative
agidigba,positive
dí uto,positive
amamihe,positive
ọgụ na mgba,negative
mpiakasi,negative
sịrị gị ike,negative
rijuo nsi,negative
mmuo nso,positive
nwayọ,positive
refuo,negative
anu mpama,negative
ifeoma,positive
iwe na ewe,negative
aru adikwa,negative
nnem,positive
agbawa mu,negative
dabanye,negative
gba gbuo,negative
ewute gi,negative
akaraka,positive
agzigo,positive
alaputago,negative
mmozi,positive
gozikwa gi,positive
maka ndu,positive
ndi ofe mmanu,negative
akporisigo,negative
onye mmemme,positive
ụjọ,negative
aburokwa,negative
gọzikwa,positive
gbụo m,negative
ji nkụ,positive
nọnyeere,positive
ịkọ ọnụ,negative
na achom okwu,negative
enyi,positive
aru nsi ike,positive
ne se okwu,negative
aruisike,positive
uche gị dị ya,positive
ezi chukwu,positive
ara ga agba,negative
nyuru nsi,negative
onyem,positive
acho okwu,negative
udo ️️,positive
egubugom,negative
nwanne️,positive
nwane,positive
ifunanya,positive
obiapko,negative
adigo nma,positive
ajoo onu,negative
ndi obiapko,negative
mma mma,positive
na acho okwu,negative
ndubuisi,positive
ụtọ,positive
nnenne,positive
️ekwueme,positive
gbasaa gi azu ike,negative
onye dinma,positive
akpa amụ,negative
tokwalu ato,positive
ahazi,positive
agwuechemba,positive
ike gwurru,negative
alaa,negative
ma ihe,positive
bikonu,positive
iberiebe,negative
isi gbaka,negative
adihi,negative
iwe jie gi,negative
akparị,negative
na ayi ala,negative
ndi ala,negative
uche gi,positive
mechie onu gi,negative
imeru mu ahu,negative
agu nwanyi,positive
wanne,positive
egwu di,negative
gbalụ ọkụ,negative
na ezu oshi,negative
inwero,negative
nnoo,positive
ifunaya,positive
gbaji,negative
mara ihe,positive
michaa gị ọnụ,negative
ya gazielu,positive
egbe eligwe,negative
mkpofe,positive
dike e ji eji mba,positive
ebuka,positive
nwokeoma,positive
uto,positive
jisia ike,positive
asi,negative
naeme mma,positive
adịro,negative
daàaalu,positive
achoghari okwu,negative
ufu obi,negative
agbaa,negative
ratalu na otu,negative
nnọ,positive
ga akwori,negative
gwụrụ,negative
iburokwa,negative
amaka ️,positive
ndi awusa,negative
enweghị isi,negative
chinecherem,positive
sagbuo gi,negative
gbakashiala,negative
mmehie,negative
atoka,positive
ezi nwayi,positive
ofoma,positive
egbu mmadu,negative
onwunwa,negative
mmụọ,negative
gbawara,negative
adirum,negative
kparibara,negative
otaabukpoanya,negative
umu chineke,positive
omalicha,positive
naako m onu,negative
ndum,positive
ekperé,positive
rachapu gi anya,negative
dalu,positive
pigbuo,negative
obi adịro,negative
emebikwala,negative
agaghị,negative
mbo,negative
igbu gi egbu,negative
ngbagha,negative
agu na eche mba,positive
agbazi na oto,negative
ajọ ihe,negative
ga adi,positive
ewute m,negative
sachie gi ike,negative
gazieere,positive
chi mere eze,positive
iti bolibo,negative
adịkwa,negative
ndì orì,negative
a gwu go m,negative
sịrị ike,negative
mmezie,positive
kupusie,negative
ekotekwa,negative
gozikwaa,positive
sachapu,negative
na edum,positive
akwa ugo,positive
ajó,negative
a cho okwu ‍️,negative
nwunyem,positive
nwanem,positive
obi ufú,negative
åkû mū ihė,negative
ípía,negative
gbagharia,positive
nkita ara,negative
onye akpiri,negative
akasi onwe m obi,positive
kpachalu anya,negative
apiawa,negative
dagbuo,negative
anyi ara,negative
apiachagbu,negative
aku nsi obi ike,negative
umu anuofia,negative
kpo gi oku,negative
zuzu,negative
akụ na ụba,positive
eberibe,negative
a fū gbuōla,negative
akpubue,positive
anwuola m,negative
ezi nwanyi,positive
adigboroja,negative
mmadụ,positive
nne ewu,negative
aṅụrị,positive
gbaa oto,negative
isi nadighi nma,negative
ò dì egwu,negative
bie mu oma,positive
gbagbuo gị,negative
adi m mma,positive
ga erigbu,negative
lacha gị ntị,negative
ebere ‍️‍️‍️,positive
onye meghee,negative
okenwa,positive
i mela,positive
gbabguo gi,negative
eme ogo,positive
agozigo,positive
eze ndi eze,positive
ada nnaya,positive
agbalie,positive
kpoo gi oku,negative
dajuoo,positive
gazikwara,positive
aru isi ike,positive
ga apia gi utali,negative
udooganiru,positive
tugbu gi,negative
bukwa gi,negative
amaka️,positive
kpebe ekpere,positive
ọnaputawo m,positive
ohi,negative
nke m ️,positive
anya ufu,negative
nso,positive
isi adiro gi nma,negative
na egbu,negative
ike gwuru,negative
alulu ana,negative
ọkụ,negative
gozi,positive
ututu oma,positive
asagbuo,negative
e nwero,negative
gbakaa,negative
ọla nike,negative
odachi,positive
agozie,positive
ojooo,negative
isi nkwocha,negative
ngwori,positive
jisie ike,positive
nkasi obi,positive
ndi anumanu,negative
fụrụ nanya,positive
nnukwu mmanwu,positive
nwanyi di uko,positive
ndi emehe,negative
jigide,positive
na yi ara,negative
gbuola,negative
onye ofe mmanu,negative
obi ụtọ,positive
ọyịba ara,negative
riinne ️,positive
gadi nma,positive
onye wayo,negative
na akpali,negative
jisie nu ike,positive
siri asi,negative
akpọọ gị ọkụ,negative
sieike,positive
onye ụjọ,negative
l ga adi,positive
ezibo,positive
aka nchawa,positive
onye a ara,negative
piakwa gi,negative
gia gbu e,negative
nnukwu,positive
onyeara ‍️‍️‍️‍️,negative
afọ ọma,positive
ikuku amana onya,negative
ọfuma,positive
zoba anyi,positive
meriwo,positive
iberi ibe,negative
anumanu,negative
ataa m igu nisi,negative
aguu,negative
ndu ogologo️️️️,positive
eze ebube,positive
ochokwu,negative
a cho okwu,negative
aruru ana,negative
nma ️️,positive
mara mma,positive
nwa,positive
onye ojoo,negative
ka mma,positive
ogu okwute,negative
nnukwu ara,negative
na gbakasigodum,negative
jidesie yike,positive
obi akpor,negative
isi okpukpu,negative
ndi mmuo‍️,negative
arụ ike,negative
maalu gi mma,positive
ìhè ọjọọ,negative
ọgwụ ego,negative
imela,positive
ike gi agwugo,negative
gbupuru isi,negative
so chi egbu,negative
egbu,negative
mkpi,negative
azu ndu,positive
omalecha,positive
ike nigeria gwụrụ,negative
bu ike,positive
na tu ya egwu,negative
isi gbarie,negative
igbuola,negative
ọnaputawo,positive
diri gi nma,positive
nagworia,positive
gbanyuo,negative
isi adịghị,negative
usom,positive
go zie,positive
ndi anwuruma,negative
i ga di,positive
maramma,positive
naapụ ara,negative
aruru ani,negative
ọ nwero,negative
agwugom ‍️,negative
ga ebu gi aka,negative
gbasili ike,positive
fiowaa,negative
rie nsị,negative
adirọ,negative
ga ebe akwa,negative
micha gi onu,negative
ra otu,negative
onwebedii,negative
ịdị ike,positive
akunuba,positive
iwe,negative
i ga adi,positive
agozi go gi,positive
iberibe,negative
cha ran ayan gi,negative
nyem,positive
umunne,positive
odindu,positive
hapunu m aka ka m zuoro gi ike,negative
agwu m ike,negative
ekpere,positive
doziwe,positive
mma ‍️‍️‍️,positive
na ara ọtụ,negative
gwuru m ike,negative
onyeze,positive
aru ala,negative
igbawa,negative
a piawago,negative
daa gị obi‍️,positive
agọzi go,positive
idi nma,positive
ezen ndi eze,positive
tabuo,negative
uru,positive
atooom,positive
ozu,negative
agozi go,positive
zuo ike,positive
rinne,positive
e kelem gi,positive
ndị ilo,negative
ozioma,positive
ụdọ,positive
arụ ịsị ike,negative
mmaa gi ula,negative
anya ụfụ,negative
gbaakwa oku,negative
jidesie,positive
dachikwa gi nti,negative
asanwa,positive
kogherie,negative
fiowaa gị ọnụ,negative
onye ara,negative
ihe iribaama,negative
eziokwu ‍️,positive
mezuo,negative
ike gwu,negative
amawom,positive
agbawaala,negative
neso okwu,negative
igbugo,negative
kpogi oku,negative
ala dachikwa gi nti,negative
tawaa gị ọnụ,negative
igwu egwu,negative
dalu nu,positive
ike guru,negative
gawa niru,positive
kpochiri,negative
kasịe obi ike,positive
ebenebe,negative
ajụ,negative
nma,positive
onye chi mere eze,positive
ụgwọ ọlụ,negative
bu eze,positive
isi aki,negative
nwa ada,positive
egbum,negative
obinna,positive
igbugom,negative
etielaa,negative
ma gbuo,negative
ike adiro,negative
ezigbote,positive
akpiri ogologo,negative
naakogheri,negative
adighi m,negative
asa ugo,positive
ndi nsọ,positive
ajọ ọnụ,negative
itagburu,negative
ijeoma,positive
ntụgharị,negative
ọchịchịrị,negative
ekwela,negative
akonuche,positive
isi nkụ ka,negative
pigbuo gi,negative
agbari,negative
nna,positive
mpi anya,negative
ike agwula gi,negative
isi okanga,negative
ezege,positive
daluu,positive
akalaka,positive
nwunye mmadu,positive
ara agba,negative
adighi nma,negative
kwenụ,positive
ya na,negative
ujo gi,negative
alika,negative
itisagom,negative
gbụo,negative
afamefuna,positive
obi takwara ndia mmir,negative
etigbu,negative
